0.00,0.734968
0.01,0.648408
0.02,0.541698
0.03,0.559621
0.05,0.587122
0.06,0.544589
0.07,0.610219
0.08,0.552473
0.09,0.631859
0.10,0.630364
0.12,0.438698
0.13,0.386934
0.14,0.501652
0.15,0.483005
0.16,0.467347
0.17,0.395374
0.19,0.420068
0.20,0.494701
0.21,0.618152
0.22,0.425419
0.23,0.336796
0.24,0.463393
0.26,0.455452
0.27,0.486255
0.28,0.528660
0.29,0.469929
0.30,0.523877
0.31,0.542921
0.33,0.565796
0.34,0.383817
0.35,0.514942
0.36,0.511715
0.37,0.401522
0.38,0.469678
0.39,0.331767
0.41,0.348516
0.42,0.453703
0.43,0.516541
0.44,0.443460
0.45,0.355838
0.46,0.394056
0.48,0.624430
0.49,0.734507
0.50,0.781888
0.51,0.826997
0.52,0.792804
0.53,0.794040
0.55,0.798618
0.56,0.795567
0.57,0.688500
0.58,0.541389
0.59,0.681320
0.60,0.733528
0.62,0.619343
0.63,0.597005
0.64,0.630680
0.65,0.532564
0.66,0.570067
0.67,0.380799
0.68,0.444819
0.70,0.512213
0.71,0.427129
0.72,0.427576
0.73,0.470061
0.74,0.465928
0.75,0.523114
0.77,0.652536
0.78,0.476682
0.79,0.447635
0.80,0.595707
0.81,0.543079
0.82,0.527790
0.84,0.589788
0.85,0.568092
0.86,0.433049
0.87,0.356699
0.88,0.415354
0.89,0.619872
0.91,0.489805
0.92,0.422542
0.93,0.472364
0.94,0.426994
0.95,0.438731
0.96,0.461945
0.98,0.433398
0.99,0.457861
1.00,0.386747
1.01,0.481101
1.02,0.457534
1.03,0.372944
1.04,0.347542
1.06,0.429676
1.07,0.509700
1.08,0.717140
1.09,0.872649
1.10,0.831682
1.11,0.859921
1.13,0.828943
1.14,0.792444
1.15,0.755315
1.16,0.857389
1.17,0.878636
1.18,0.828634
1.20,0.971459
1.21,0.682542
1.22,0.695970
1.23,0.735108
1.24,0.631129
1.25,0.606157
1.27,0.544943
1.28,0.622065
1.29,0.610835
1.30,0.688813
1.31,0.701455
1.32,0.597008
1.34,0.706662
1.35,0.661259
1.36,0.499379
1.37,0.471423
1.38,0.667706
1.39,0.637377
1.40,0.601896
1.42,0.700877
1.43,0.485533
1.44,0.460649
1.45,0.503981
1.46,0.466414
1.47,0.379142
1.49,0.379480
1.50,0.420867
1.51,0.454694
1.52,0.369350
1.53,0.438186
1.54,0.371695
1.56,0.386365
1.57,0.331338
1.58,0.401431
1.59,0.449948
1.60,0.446109
1.61,0.423155
1.63,0.429806
1.64,0.384488
1.65,0.403903
1.66,0.420695
1.67,0.362137
1.68,0.673106
1.70,0.932199
1.71,1.060339
1.72,0.959446
1.73,0.892199
1.74,0.904816
1.75,0.836036
1.76,0.800189
1.78,0.723796
1.79,0.518998
1.80,0.445115
1.81,0.464656
1.82,0.463549
1.83,0.508659
1.85,0.577374
1.86,0.437853
1.87,0.422004
1.88,0.579174
1.89,0.485633
1.90,0.307093
1.92,0.526934
1.93,0.484147
1.94,0.400940
1.95,0.437104
1.96,0.432264
1.97,0.401059
1.99,0.507362
2.00,0.537631
2.01,0.453192
2.02,0.510237
2.03,0.438603
2.04,0.418387
2.05,0.403905
2.07,0.377102
2.08,0.275988
2.09,0.306713
2.10,0.318041
2.11,0.230057
2.12,0.300516
2.14,0.380502
2.15,0.363773
2.16,0.347742
2.17,0.325224
2.18,0.323124
2.19,0.285817
2.21,0.274036
2.22,0.360365
2.23,0.416259
2.24,0.402537
2.25,0.349768
2.26,0.419376
2.28,0.440423
2.29,0.801345
2.30,1.061643
2.31,1.046489
2.32,0.845390
2.33,0.902432
2.35,0.990109
2.36,0.964508
2.37,0.922179
2.38,0.780473
2.39,0.629851
2.40,0.736202
2.41,0.768628
2.43,0.720107
2.44,0.565897
2.45,0.509222
2.46,0.647451
2.47,0.739849
2.48,0.650797
2.50,0.557680
2.51,0.619008
2.52,0.584590
2.53,0.542872
2.54,0.690394
2.55,0.448472
2.57,0.542040
2.58,0.587299
2.59,0.562965
2.60,0.511979
2.61,0.598546
2.62,0.522912
2.64,0.533201
2.65,0.505301
2.66,0.450296
2.67,0.308553
2.68,0.467065
2.69,0.453032
2.71,0.368153
2.72,0.400262
2.73,0.337813
2.74,0.352984
2.75,0.338642
2.76,0.294044
2.77,0.311292
2.79,0.371011
2.80,0.218690
2.81,0.346665
2.82,0.408041
2.83,0.394379
2.84,0.359516
2.86,0.367613
2.87,0.488802
2.88,0.571758
2.89,0.776970
2.90,1.067629
2.91,1.020102
2.93,0.804592
2.94,0.713813
2.95,0.679780
2.96,0.644505
2.97,0.662047
2.98,0.603117
3.00,0.623913
3.01,0.631974
3.02,0.587682
3.03,0.636289
3.04,0.497002
3.05,0.437377
3.07,0.470232
3.08,0.485540
3.09,0.403936
3.10,0.359901
3.11,0.468984
3.12,0.419381
3.13,0.320285
3.15,0.399674
3.16,0.494874
3.17,0.355866
3.18,0.416542
3.19,0.563191
3.20,0.461987
3.22,0.261471
3.23,0.256262
3.24,0.244218
3.25,0.206800
3.26,0.165729
3.27,0.153901
3.29,0.179725
3.30,0.152390
3.31,0.185061
3.32,0.203832
3.33,0.201241
3.34,0.213482
3.36,0.202650
3.37,0.169365
3.38,0.215099
3.39,0.228120
3.40,0.252525
3.41,0.320871
3.42,0.376782
3.44,0.348773
3.45,0.353550
3.46,0.363877
3.47,0.350772
3.48,0.564024
3.49,0.997180
3.51,1.108899
3.52,1.044960
3.53,0.814448
3.54,0.764767
3.55,0.786818
3.56,0.850497
3.58,0.663431
3.59,0.709098
3.60,0.574198
3.61,0.631845
3.62,0.631820
3.63,0.551553
3.65,0.507688
3.66,0.585683
3.67,0.556562
3.68,0.603123
3.69,0.563337
3.70,0.439154
3.72,0.442744
3.73,0.418860
3.74,0.497174
3.75,0.588499
3.76,0.623009
3.77,0.669905
3.78,0.471319
3.80,0.453377
3.81,0.624428
3.82,0.616416
3.83,0.562503
3.84,0.395064
3.85,0.390247
3.87,0.538170
3.88,0.446793
3.89,0.420193
3.90,0.480053
3.91,0.382068
3.92,0.389810
3.94,0.434573
